Gene,Allele,Locus Name,Allele Name,Synonyms of Allele,Phenoptype,Chromosome,Marker Type,Mutant Type,
gib-3,x,gibberellin-deficient-3, , ,"Gibberellin deficient; greatly reduced germination, and dwarf growth habit; leafs dark green, thick, and wrinkled; application of exogenous GA restores normal phenotype.  More extreme allele than gib-3.", ,Morph,CHEM,
gil,--,gilva, , ,Yellow cotyledons; highly variable ratios., ,Morph, ,
gl,--,glauca, , ,"Leaf segments narrow, acute yellow-green; virescent.", ,Morph,RAD,
gl-2,--,glauca-2, ,gl2,"Short internodes; small, dull, light gray-green leaves.", ,Morph, ,
gla,--,glaucicolor, , ,"Flat dense bush habit, strongly sidebranched; internodes shortened; foliage dull light grey-green; shoot tips with much anthocyanin; flowers small.", ,Morph, ,
glau,--,glaucescens, , ,"Leaves shortened, dull green to yellowish gray-green; small upright habit.",8,Morph,RAD,
glau-2,--,glaucescens-2, ,glau2,Smaller plant; leaves dull gray-green; yellow-green growth zones., ,Morph, ,
glb,--,globularis, , ,Internodes and leaves shortened; leaves densely pinnate; yellow tinged., ,Morph,RAD,
glb-2,--,globularis-2, ,glb2,"Dense, rounded bush; very short internodes; many side shoots; poor fruit set.", ,Morph, ,
glc,--,glaucophylla, , ,"Small plant; leaves light yellow or gray green, shortened.", ,Morph,RAD,
glc-2,--,glaucophylla-2, ,glc2,"Some pinnae larger, broader; pinnae light-green with lighter flecks.", ,Morph, ,
glc-3,--,glaucophylla-3, ,glc3,Small plant and leaves of dull light grey-green., ,Morph, ,
glf,--,globiformis, ,glf1,"Very small, irregular bush; all plant parts reduced; many side shoots; multibranched inflorescences; young heterozygotes recognizable.", ,Morph,RAD,
glg,--,galapagos light green, , ,"Leaves pale gray-green, darker veins; plant small",8,Morph,SPON,
glm,--,glomerata, , ,"Seedlings normal; young plant with stronger anthocyanin; plants 1/3-2/3 normal size; shoots become necrotic at fruiting, resulting in condensed habit; later some branches become normal.", ,Morph,RAD,
glo,--,globosa, , ,"Internodes short; leaves short, pale green; incompletely dominant",4,Morph,RAD,
glo,2,globosa, ,"inx, intro","Leaves tend to roll toward upper side, dull gray-light green; shortened internodes; excessively branched.",4,Morph,RAD,
glo-2,--,globosa-2, ,glo2,"Very compact, rounded bush; many side shoots; short internodes; small flowers, fewer clusters.", ,Morph, ,
glo-3,--,globosa-3, ,glo3,"Full sized erect bush; half sized, slender pinnae.", ,Morph, ,
glu,--,glutinosa, ,glu1,"Dark green, shiny fruit with sticky epidermis; poor germination.", ,Morph,RAD,
gm,--,gamosepalous, , ,Calyx and corolla segments tending to be connivent., ,Morph,RAD,
Got-1,1,Glutamate oxaloacetate transaminase-1, , , ,4,Isozyme,SPON,
Got-1,2,Glutamate oxaloacetate transaminase-1, , , ,4,Isozyme,SPON,
Got-2,1,Glutamate oxaloacetate transaminase-2, , , ,7,Isozyme,SPON,
Got-2,2,Glutamate oxaloacetate transaminase-2, , , ,7,Isozyme,SPON,
Got-2,3,Glutamate oxaloacetate transaminase-2, , , ,7,Isozyme,SPON,
Got-2,4,Glutamate oxaloacetate transaminase-2, , , ,7,Isozyme,SPON,
Got-2,n,Glutamate oxaloacetate transaminase-2, , , ,7,Isozyme,SPON,
Got-3,1,Glutamate oxaloacetate transaminase-3, , , ,7,Isozyme,SPON,
Got-3,2,Glutamate oxaloacetate transaminase-3, , , ,7,Isozyme,SPON,
Got-3,3,Glutamate oxaloacetate transaminase-3, , , ,7,Isozyme,SPON,
Got-3,n,Glutamate oxaloacetate transaminase-3, , , ,7,Isozyme,SPON,
Got-4,1,Glutamate oxaloacetate transaminase-4, , , ,8,Isozyme,SPON,
Got-4,2,Glutamate oxaloacetate transaminase-4, , , ,8,Isozyme,SPON,
Got-4,n,Glutamate oxaloacetate transaminase-4, , , ,8,Isozyme,SPON,
Gp,--,Gamete promoter, , ,Strongly increased fertilization of gametes carrying it.,9,Morph,SPON,
gq,--,grotesque, , ,"Irregular androecium; pistil variably twisted, elongated, ridged, or lobed.", ,Morph,SPON,
Gr,--,Green ripe, ,gr,"Fruit flesh turns slowly to yellowish green, remains firm; resembles gf, except that center of fruit turns red.", ,Morph,SPON,
Gr,Nr-2,Green ripe, , ,"Resembles gf, except that center of fruit turns red.", ,Morph,SPON,
gra-2,--,gracilis-2, ,gra2,"Very small plant, pinnae, short internodes and leaves.", ,Morph, ,
gra-3,--,gracilis-3, ,gra3,"Plant very small, erect, nearly unbranched; short internodes and leaves; pinnae and seedlings smaller.", ,Morph, ,
grc,--,gracillama, ,grc1,"Smaller, weakly branched, half-erect plant; yellow-green, slightly involuted pinnae.", ,Morph,RAD,
grf,--,grandifructa, ,grf1,"Broad, lax habit; fewer, large, flattened fruit; heterozygote intermediate.", ,Morph,RAD,
grl,--,gracilenta, ,grl1,"Smaller, erect, weakly branched plant; large pinnae, close together, irregularly yellow green, normal green veins.", ,Morph,RAD,
grl-2,--,gracilenta-2, , ,"Slender, pointed, pale green cotyledons; primary leaves delayed; dainty foliage; yellowish shoot tips.", ,Morph, ,
grn,--,granulosa, , ,"Base of large, multicellular  trichomes greatly enlarged; associated chlorophyll deficiency and lack of vigor may be pleiotropic.", ,Morph,CHEM,
gro,--,grossa, , ,"Cotyledons often more than 2; cotyledons and primary leaf segments short and broad, segments fewer, light grey-green; plants 2/3 normal height, upright, weakly branched; fruit and seed set reduced.", ,Morph,RAD,
grs,--,grisea, ,"grs1, gr1","Smaller, light yellow green plant; dark gray-green growth zones.", ,Morph, ,
gs,--,green stripe, , ,"Irregular longitudinal green stripes in epidermis of unripe fruit; retaininng chlorophyll for longer period during ripening, and eventually assuming paler color in fully ripe fruit; changes limited to epidermis.  Striping may be observed on stem under conditions of high humidity and low light; heterozygotes exhibit some faint striping on fruit, but scored as a recessive.",7,Morph,SPON,
gt,--,gametophytic factor, , ,Reduced effectivity of female gametes., ,Morph, ,
Gx,--,Gibberellin-exserted, , ,Gibberellin-stimulated exsertion of style., ,Morph, ,
h,--,hairs absent, ,H,Long trichomes absent except on hypocotyl and at growing point; heterozygote is intermediate.,10,Morph,SPON,
ha,--,hastata, ,ha1,"Slender, long, pointed cotyledons; short leaves, with 2 pairs of slender, pointed pinnae; small, flat, dense bush.", ,Morph, ,
he,--,heteroidea, , ,"Small plant; internodes shortened; leaflets somewhat narrowed; older leaves glossy, brittle, and light green.", ,Morph,RAD,
he-2,--,heteroidea-2, ,he2,"Lax, low bush; slender stems, short internodes; small, keeled pinnae.", ,Morph, ,
Hero,--,Heterodera rostochiensis resistance, , ,Resistance to potato cyst nematode (Globodera rostochiensis).,4,Disease,SPON,
hg,--,heterogemma, ,hg1,"Small, lax plant; first inflorescence abnormal, numerous fasciated buds, elongated, unbranched peduncle.", ,Morph,RAD,
hi,--,hilara, , ,"Small plant, proportionately reduced; irregularly crenate and rugose and light-dark green patterned pinnae.",9,Morph,RAD,
hl,--,hairless, , ,"All types of hairs suppressed except for a few of the glandular type, which lack the chloroplasts normally present; presence of the large multicellular trichome bases imparts a granular or rough appearance to the stems; in contrast to h/h, hypocotyl is glabrous; stamens lacking hairs, tend to be dialytic; plant weak and extremely brittle.",11,Morph,SPON,
hl,2,hairless, ,"cal, cal1","Smaller, weakly pubescent plant; dark-green leaves. Curved upwards to involuted.",11,Morph,RAD,
hl,prov3,hairless,provisional 3,hl,All herbage hairless; stems brittle,11,Morph,CHEM,
hl,prov4,hairless,provisional 4,hl,All herbage hairless; stems brittle,11,Morph,CHEM,
hl,prov5,hairless,provisional 5,hl,All herbage hairless; stems brittle,11,Morph,CHEM,
hl,prov6,hairless,provisional 6,hl,All herbage hairless; stems brittle,11,Morph,CHEM,
hl-2,--,hairless-2, ,hl^prov6,All herbage hairless; stems brittle, ,Morph,CHEM,
hp-1,--,high pigment-1, ,"hp, hp1, hp2, bs, dr","Chlorophyll, carotenoids, ascorbic acid content of fruit intensified.",2,Morph,SPON,
hp-1,w,high pigment-1,WB3, ,"Similar to hp-1, but more extreme  phenotype.",2,Morph,CHEM,
hp-2,--,high pigment-2, ,hp,"Similar to hp-1; enhances all pigments of green and mature red fruits; in presence of u^+ allele, immature fruit are completely dark green.",1,Morph,CHEM,
hp-2,dg,high pigment-2,dark green,dg,"Immature fruit color normal; darker green color appears as fruit develops, then persists until onset of ripening, high chlorophyll compared to wild type  or hp-1.",1,Morph,SPON,
hp-2,j,high pigment-2,Jones,hp,Similar to hp-2.,1,Morph,SOMA,
hp-3,1,high pigment-3, , ,Increased accumulation of carotenoids., ,Morph,CHEM,
Hr,--,Hirsute, , ,Long hairs on upper leaf surfaces.,8,Morph,SPON,
Hrt,--,Hirtum, , ,Increased density of large trichomes; incompletely dominant.,7,Morph,SPON,
hs,--,hairless style, , ,Style lack hairs., ,Morph, ,
ht,--,hastate, , ,"Primary and mature leaves narrow, elongate, and entire, fewer lobed; abortive and deformed flowers.", ,Morph,SPON,
hy,--,homogeneous yellow, , ,All vegetative parts yellow in all stages.,10,Morph,SPON,
I,--,Immunity to Fusarium wilt, , ,Resistance to Fusarium oxysporum f. lycopersici.,7,Disease,SPON,
I-2,--,Immunity to Fusarium wilt-2, , ,Resistance to Fusarium oxysporum f. lycopersici race 2.,11,Disease,SPON,
I-3,--,Immunity to Fusarium wilt-3, , ,Resistance to Fusarium oxysporum f. lycopersici race 3.,7,Disease,SPON,
I-4,--,Immunity to Fusarium wilt-4, , ,Resistance to Fusarium oxysporum race 2.,2,Disease,SPON,
I-5,--,Immunity to Fusarium wilt-5, , ,Resistance to Fusarium oxysporum race 2.,2,Disease,SPON,
I-6,--,Immunity to Fusarium wilt-6, , ,Resistance to Fusarium oxysporum race 2.,10,Disease,SPON,
I-7,--,Immunity to Fusarium wilt-7, , ,Resistance to Fusarium oxysporum race 3., ,Disease,SPON,
ic,--,inclinata, , ,"Small bush; short internodes, leaves; older leaves epinastic, yellowish.", ,Morph,RAD,
ic-2,--,inclinata-2, ,ic2,"Many slender side shoots; short leaves; narrow, smaller pinnae.", ,Morph, ,
ica,--,icana, , ,"Plants reach 3/4 typical size; habit denser with grey-green aspect, revealing some whitish-green of leaf under-surfaces; segments separate with light areas in younger leaves, partly fused, dirty yellow-grey in later leaves.", ,Morph,RAD,
icn,--,incana, , ,"Small plant, slow growing; whitish seedling and mature leaves latter with prominent purpling.",10,Morph,SPON,
id,--,indehiscens, , ,Large pinnae; connate sepals; fruit irregularly cracked. (phenotype similar to cleistogamous).,11,Morph,RAD,
ida,--,inordinata, , ,"Seedling typical pm; habit erect, irregular bush with less branching; some leaves with 2 pairs of lateral segments, others unsegmented, in later growth becoming normal; term segments almost cordiform; foliolules strongly blistered; foliage color brilliant dark green.", ,Morph,RAD,
Idh-1,1,Isocitrate dehydrogenase-1, , , ,1,Isozyme,SPON,
ig,--,ignava, , ,"Dwarf upright, little branched; leaves relatively large, light green, bleaching to white; growth retarded (1/4 size)",7,Morph,RAD,
ig-2,--,ignava-2, ,ig2,Small plant; smaller leaves and pinnae of lighter color; short internodes., ,Morph, ,
ig-3,--,ignava-3, ,ig3,"Cotyledons small, narrow; lax, flat bush; sturdy shoots, yellowish tips in field; large pinnae.", ,Morph, ,
im,--,impatiens, ,im1,"Small, lax plant; reduced side shoots; darker, blue-green foliage wilts in strong sun and wind.", ,Morph,RAD,
im-2,--,impatiens-2, ,im2,"Small, flat bush; leaves short, small rugose, necrotic at tips; drought sensition.", ,Morph, ,
imb,--,imbecilla, , ,Plant weak with few branches; younger leaves yellow-green then when older turning light green.,1,Morph,SPON,
imb-2,--,imbecilla-2, ,imb2,"Light green cotyledons, dark veins; smaller, lax plant; short, yellowish to light green leaves.", ,Morph, ,
imp,dia,impedita, , ,"Smaller, weak plant; leaves chlorotic at margins; plant smaller than imp:eg.", ,Morph,SPON,
imp,eg,impedita, , ,"Smaller, weak plant; leaves chlorotic at margins, like imp;dia but plant larger.", ,Morph,SPON,
in-2,--,indiga-2, ,in2,"Narrow, gray-green cotyledons; smaller plant; short internodes.", ,Morph, ,
in-3,--,indiga-3, ,in3,Small plant; smaller pinnae; reduced branching; inflorescences close together and numerous., ,Morph, ,
ina,--,inflexa, ,ina1,"Lax growth, becoming partially decumbent.", ,Morph,RAD,
inc,--,incurva, , ,"Leaf segments weakly curved, undulate margins; stems, leaf veins and inflorescence crooked.",6,Morph,RAD,
inc-2,--,incurva-2, ,inc2,"Smaller plant; short internodes and leaves; long, narrow, keeled and brownish-green pinnae.", ,Morph, ,
inf,--,informa, , ,"Tiny plant with very short internodes; leaves small, plicate, and strongly down-curved.",5,Morph,RAD,
ini,--,inquieta, ,ini1,"Small, proportionately reduced, variable plant; young pinnae involuted, lighter colored; large trichomes absent.",11,Morph,RAD,
ino,--,involuta, ,ino1,"Smaller, variable, cylindrical bush; short internodes; involuted pinnae.", ,Morph,RAD,
inr,--,integer, ,inr1,"Primary leaves almost undivided; long petioles; broad, rugose pinnae; few secondary pinnae.", ,Morph, ,
ins,--,inconstans, ,ins1,"Small, weakly branched plant; phenotype, including leaf size, variable from year to year.", ,Morph,RAD,
inta,--,integrifolia, ,inta1,"Lax, high bush; short leaves; rounded, crowded pinnae.", ,Morph, ,
inv,--,invalida, , ,"Small, dainty plants; irregular chlorotic flecks, later leaves deformed.",1,Morph,RAD,
inx-2,--,introflexa-2, ,"inx2, intro2","Plants diminutive in all respects; keeled to rolled, wilty pinnae.", ,Morph, ,
Ip,--,Intense pigment, , ,Dark pigmentation of the unripe fruit.  Flowers deep orange-yellow with extra corolla segments (similar to Bco)., ,Morph,SPON,
irr,--,irregularis, , ,"Leaves shortened, irregularly veined, dark green, tinged yellow; leaves erect on stem and stems swollen at leaf nodes; leaves, stems and inflorescences twisted.",1,Morph,RAD,
ita,--,inquinata, ,ita1,"Young leaves in midseason develop small necrotic flecks, later coalescing into large ones; variable expressivity.", ,Morph,RAD,
Itm,--,Intumescences, , ,Development of tumorous outgrowths on leaves and stems; heterozygote intermediate.,7,Morph,SPON,
j,--,jointless, ,lf,"The normal pedicel joint, with swelling and abscission layer is absent; fruits separate at the juncture with the calyx; leafy or indeterminate growth of the inflorescence, suppressed in combination with sp (self-pruning).",11,Morph,SPON,
j,+,jointless, , ,"Normal, jointed pedicels",11,Morph,SPON,
j-2,--,jointless-2, ,j2,Jointless elongate pedicel; teratological calyx; proliferated inflorescence; elongate fruit.,12,Morph,SPON,
j-2,in,jointless-2, ,j2^in,"Jointless pedicel, with incomplete gene action.  Pedicel joints with normal form, but do not separate when fruits ripen.  Referred to as the 'arthritic' gene.",12,Morph,SPON,
Jau,--,Jaundiced, , ,Yellow-green seedlings and young plants; homozygous lethal,1,Morph,SPON,
jug,--,jugata, , ,Fasciated stems and fruits; short internodes; inflorescence almost sterile., ,Morph,RAD,
jug,2,jugata, ,jug1^2,"Fasciated stems, flowers, fruits, more extreme than jug.", ,Morph,RAD,
l,--,lutescent, ,g,"Cotyledons and first true leaves turn yellow when the seedlingsa re 4-6 weeks old; as plants grow, the older leaves progressively yellow and abscise prematurely, the growing tips and immature leaves remaining green; stigmas yellow and fruit pigmentation reduced.",8,Morph,SPON,
l,2,lutescent, ,rub,Yellowish unripe fruits; premature yellowing of the leaves.,8,Morph,RAD,
l,prov3,lutescent,provisional 3,l,Yellowish unripe fruits; premature yellowing of the leaves.,8,Morph,SPON,
l,prov4,lutescent,provisional 4,l,Yellowish unripe fruits; premature yellowing of the leaves.,8,Morph,SPON,
l,prov5,lutescent, , ,Phenotype similar to original lutescent.,8,Morph,SPON,
l-2,--,lutescent-2, ,"l-3, l2",Premature yellowing of older leaves; yellowish unripe fruit.,10,Morph,SPON,
La,--,Lanceolate, , ,"Leaves simple, limited to one small, elongated leaflet; margins entire; stems slender and excessively branched; cotyledons frequently fused; fruit small; homozygous inviable (shoot growth normally produces only a hypocotyl with little if any leaf  tissue).",7,Morph,SPON,
Lac,--,Lacciniate, , ,"Leaf margins deeply incised, segments narrow.",6,Morph,SPON,
lae,--,laesa, , ,Small bush; axillary sprouts later necrotic; primary leaves dainty., ,Morph,RAD,
lan,--,languida, , ,"Plant size and habit typical pm; until fruiting, variably light green virescent, later typical pm.", ,Morph,RAD,
lap,--,lamprochlora, ,lap1,"Small, lax plant; short, shiny leaves; end pinnae curved upwards.", ,Morph,RAD,
lat,--,lata, , ,Habit broad at first; growth much depressed in field., ,Morph,RAD,
lax,--,laxus, ,lax1,"Plant lax, weakly branched; slender shoots; smaller, slightly rounded pinnae.", ,Morph, ,
Lc,--,Locule number, , ,Locule number is reduced,2?,Morph, ,
le,--,lembiformis, ,le1,"Prostrate, smaller plant, proportionately reduced; keeled or involuted yellowish pinnae, ventrally purplish.", ,Morph,RAD,
lep,--,leprosa, ,lep1,"Smaller, proportionately reduced plant; rapidly spreading necrosis on all older pinnae.", ,Morph,RAD,
lg,--,light-green, ,lme,Light green foliage.,10,Morph,SPON,
lg-2,--,light green-2, ,"lg2, li, pg392",Cotyledons light yellow; leaves pale green; classification sometimes difficult., ,Morph, ,
lg-3,--,light green-3, ,"lg3, lt, pg483","Light green cotyledons, leaves; former fade to yellow, latter to pale-green.", ,Morph, ,
lg-4,--,light green-4, ,lg4,"Yellow-green cotyledons, light green leaves.", ,Morph, ,
lg-5,--,light green-5, ,"lg5, lm, fy, yt",Foliage uniformly light green,7,Morph,SPON,
li,--,limbrata, , ,"Seedling development variably reduced; first leaves slightly deformed with terminal segments broader at tip, in early stages pinnae tend to be finer, more strongly plicate, margins curled upward, and yellow-green.  These characters disappear in mature plant.", ,Morph,RAD,
liv,--,livida, , ,"Plant erect, near normal size; cotyledons narrow, light grey-green, white-spotted; leaf segments long, narrow, slightly notched, blunt, dull grey-green; shoot tips bluish with anthocyanin.", ,Morph, ,
Ln,--,Lanata, , ,Resembles Wo:m but hairs concentrated on stem; all 3 genotypes viable and distinguishable.,3,Morph,CHEM,
Ln,G,Lanata, , ,resembles Wo:m but is more hairy; all 3 genotypes viable and distinguishable.,3,Morph,CHEM,
lo,--,locule number reduced, , ,Reduced locule number.,2,Morph, ,
loa,--,low acid, , ,Low titratable fruit acidity., ,Morph, ,
loc,--,locule number increased, , ,Locule number increased., ,Morph,RAD,
lop,--,longipes, ,lop1,"Small, somewhat spreading plant; broad, weak gray-green pinnae; long petioles; variable expression.", ,Morph,RAD,
Lpg,--,Lapageria, , ,"Leaves small, dark green, with obtuse extremities and a glossy, concave, slightly bullate surface; reduced hairiness; flowers campanulate; stamens dialytic; homozygote more extreme phenotype and completely sterile.",1,Morph,SPON,
ls,--,lateral suppresser, , ,Few or no axillary branches; corolla suppressed; partially male sterile,7,Morph,SPON,
ls,2,lateral suppresser, , ,Few or no axillary branches; corolla suppressed; partially male sterile.,7,Morph, ,
lt,--,laeta, ,lt1,"Smaller, weakly branched plant; light gray-green foliage; growing points, later entire plant, yellow-green.", ,Morph,RAD,
lt-2,--,laeta-2, ,lt2,"Dainty, light green foliage; shoot tips with yellowish pinnae and in late season has bluish veins, petioles.", ,Morph, ,
ltf,--,latifolia, , ,Cotyledons and pinnae extremely broad proportioned.,7,Morph,CHEM,
lu,--,luteola, , ,Light yellow corolla.  .,1,Morph,RAD,
luc,--,lucida, , ,"Leaves bright green, yellow-green at growing point.", ,Morph,RAD,
luc-2,--,lucida-2, ,luc2,"Smaller, lax bush; short stems; small, light green leaves.", ,Morph, ,
luc-3,--,lucida-3, ,luc3,"Plant and leaves small, light green to light olive.", ,Morph, ,
lur,--,lurida, ,lur1,Yellow-green cotelydons and primary leaves; dull light green later foliage., ,Morph,RAD,
lut,--,lutea, , ,"Leaves yellow-green, darker veins; virescent.",9,Morph,RAD,
lut-2,--,lutea-2, ,lut2,"Primary leaves flecked yellow-green; pinnae dull light green, yellowing early.", ,Morph, ,
lut-3,--,lutea-3, ,lut3,"Cotyledons yellowish light green, small plant and leaves of dull light green.", ,Morph, ,
lux,--,luxurians, ,lux1,"Young plant larger, fewer side shoots; erect, long internodes.", ,Morph, ,
Lv,--,Leveillula taurica resistance, , ,Resistance to Leveillula taurica powdery mildew.,12,Disease,SPON,
Lx,--,Lax, , ,"Elongate, acute-segmented, pendent leaves.",2,Morph,SPON,
lyr,--,lyrate, , ,First leaves entire and undivided; later fan shaped and deeply lobed; female-sterile.  Notes: calyx greatly enlarged;  heterozygotes have the leaf phenotype but not sterility.,5,Morph,SPON,
lz,--,lazy, , ,"Normal seedlings, 3 weeks later become strongly geotropic; weak branching.", ,Morph,RAD,
lz-2,--,lazy-2, , ,Plant habit strongly prostrate due to reversed geotropic response of shoots (roots normal).,5,Morph,CHEM,
m,--,mottled, , ,"Cotyledons and all leaves speckled with light yellow-green spots, rather evenly distributed; leaflets narrow, irregular and distorted.",2,Morph,RAD,
m-2,--,mottled-2, ,"m2, mo, md",Many small chlorotic spots on leaves; plant stunted; temperature-dependent.,6,Morph,RAD,
M-3,--,Mottled-3, ,"M3, M345",Variable sectoring for chlorophyll deficiency; homozygous lethal., ,Morph, ,
ma,--,macrocarpa, , ,"Leaves clearly longer; fruit large, smooth.", ,Morph,RAD,
maa,--,macra, , ,"Branching inhibited, erect habit; leaf segments and flowers reduced size.", ,Morph, ,
mac,--,maculata, ,mac1,Small plant; necrosis on upper or lower leaf surface spreading from margin., ,Morph,RAD,
mad,--,marcida, ,mad1,Small dark green plant with strong wilting of upper leaves., ,Morph,RAD,
Mae-1,1,Malic enzyme-1, , ,"Allele of S. lycopersicoides, slightly retarded from '+'.",5,Isozyme,SPON,
mal,--,maculosa, ,mal1,"Young plant leaves have irregular, yellowish light green flecks, disappear later.", ,Morph, ,
mar,--,marcescens, , ,"Small plant; leaves dark-green, lightly wilting.", ,Morph,RAD,
marm,--,marmorata, , ,"Marbling of several tones of white and light green on leaves, stronger expression in greenhouse than in field.",9,Morph,RAD,
marm,2,marmorata, ,marm1^2,"Marbling of several tones of white and light green on leaves, stronger expression in greenhouse than in field.",9,Morph,RAD,
marm-2,--,marmorata-2, , ,"Cotyledons variably white, yellow, yellow-green or green with variegated true leaves.", ,Morph, ,
mat,--,matura, ,mat1,"Lax, flat bush, retarded in growth; short leaves; half-sized pinnae.", ,Morph, ,
mc,--,macrocalyx, , ,"Calyx variable in size, but always larger than normal, exceeding corolla in length and often bladdery in appearance; corolla subnormal in development and rarely spread at anthesis; pedicel joint arthritic; inflorescence indeterminant.",5,Morph,SPON,
mcn,--,maculonecrotic, , ,"Seedling 2/3 normal size with virescence, yellow spots becoming necrotic, mature leaves often deformed, especially mid-region, also virescent at maturity.",3,Morph,CHEM,
mcr,--,multicolor, , ,"Seedling typical spl; plant 3/4 size; habit spreading; foliage color yellow green early to dark midveins with necrotic spots later, finally with variable whitish-yellow-green aspect.", ,Morph,RAD,
mcs,--,macrosepala, , ,"Size and habit normal; inflorescence elongate, indeterminate; corolla enlarged; closed, but opening when touched; calyx with similar features;  older leaves uncurled to reveal undersides. Note: calyx segments fused.", ,Morph,RAD,
Mdh-1,1,Malate dehydrogenase-1, , , ,3,Isozyme,SPON,
Mdh-2,1,Malate dehydrogenase-2, , , , ,Isozyme, ,
Mdh-4,1,Malate dehydrogenase-4, , , ,12,Isozyme, ,
Me,--,Mouse ears, , ,Leaves 3-4 pinnately compound with clavate segments; shortened internodes; homozygous viable; incompletely dominant.,2,Morph,SPON,
med,--,mediocris, ,med1,"Smaller plant, proportionately reduced.", ,Morph,RAD,
mel,--,melongenoida, ,mel1,Sometimes lax habit; oval fruit., ,Morph,RAD,
men,--,mendosa, , ,"Seedlings variable size; plant reaches half normal size; leaves always deformed, segments reduced, curled, very blistered; flowers deformed, style exserted from bud stage.", ,Morph, ,
mes,--,methyl salicylate concentration, , ,High levels of methyl salicylate in fruit of certain lives., ,Morph, ,
mf,--,multiformis, , ,"Growth always retarded; thin branches; internodes and leaves shortened, segments small, oval, almost entire; very few foliolules, foliage starts grey-green, later dull green.", ,Morph, ,
mgn,--,marginal necrotic, , ,"Seedling 1/4 normal size; cotyledons and leaves yellowish, becoming necrotic first at tips and margins; mature plant subnormal in size and leaves with brown necrotic blotches.",2,Morph,CHEM,
Mi,--,Meloidogyne incognita resistance, , ,"High level resistance to root-knot nematode species, including M. incognita, M. arenaria, and M. javanica.  Resistance breaks down at soil temperatures above 28 deg. C.  Also confers resistance to potato aphid and whitefly.",6,Disease,SPON,
Mi-3,--,Meloidogyne incognita resistance-3, , ,"Resistance to Mi-breaking strains of Meloidogyne incognita, including at high temperatures.",12,Disease,SPON,
Mi-4,--,Meloidogyne incognita resistance-4, , ,Heat stable resistance to Meloidogyne incognita and M. javanica, ,Disease,SPON,
Mi-5,--,Meloidogyne incognita resistance-5, , ,Heat stable resistance to root knot nematodes., ,Disease,SPON,
Mi-6,--,Meloidogyne incognita resistance-6, , ,Heat stable resistance to root knot nematodes., ,Disease,SPON,
Mi-7,--,Meloidogyne incognita resistance-7, , ,"Resistance to root knot nematodes, including strains virulent on Mi.", ,Disease,SPON,
Mi-8,--,Meloidogyne incognita resistance-8, , ,"Resistance to root knot nematodes, including strains virulent on Mi.", ,Disease,SPON,
Mi-9,--,Meloidogyne incognita resistance-9, , ,"Heat stable resistance to root knot nematodes, including M. incognita, M. arenaria, and M. javanica.",6,Disease,SPON,
mia,--,minuscula, , ,"Seedlings small; nearly no branches, erect habit; leaf segments small, keeled, dull dark grey-green; inflorescence proportionately large.", ,Morph, ,
mic,--,microcarpa, ,mic1,"Leaves, stems marked in gray-green; lighter yellow petals, uprolled margins; ridged or yellow-fissured fruits.", ,Morph,RAD,
min,--,minutula, , ,"Growth always retarded; short, weak branches; internodes and leaves very shortened; stems grey-blue; foliage light grey-green.", ,Morph, ,
mlt,--,malate concentration, , ,Low malic acid levels in fruit versus high levels in mltD., ,Morph, ,
mn,--,minuta, ,mi,"Small, upright and almost unbranched plants; shortened leaves prematurely yellowing.",11,Morph,RAD,
mn-2,--,minuta-2, ,mn2,"Very small plant, pinnae; short leaves.", ,Morph, ,
mnt,--,miniature, , ,Small plant; reduced branching and fruit set.,11,Morph,SPON,
mnx,--,extreme miniature, ,min^ex,Severely stunted chlorina mutant with 1cm internodes; flowers only after grafting on normal., ,Morph, ,
Mo(I),--,Modifier of I, , ,Heterozygote overdominant., ,Morph, ,
Mo(I)-2,--,Modifier-2 of I, , ,Exerts less effect of I than Mo(I)., ,Morph, ,
mo-B,--,modifier of B, ,"mo(B), moB, I^B, i^B",Modifier of B.  Increases content of beta carotene in presence of B., ,Morph, ,
Moi,--,Modifier inducer, , ,Permits expression of Mo(I) and MO(I)-2 only in xx genotype., ,Morph, ,
mon,--,monstrosa, , ,"Very tiny, upright, and unbranched plants; leaves much reduced, and strongly epinastic; stems slender; heterozygote intermediate for some traits. Note: leaves and stems strongly epinastic.",11,Morph,RAD,
mor,--,morata, ,mor1,"Smaller plant, reduced side branching; yellowish light green foliage.", ,Morph,RAD,
mp,--,modifier of parthenocarpy, , ,"Modifies expression of pat-2; in homozygous state, increases fruit set on pat-2 under low temperatures.", ,Morph,SPON,
mps,--,miniature phosphorus syndrome, ,ph,"Very retarded and all parts extremely reduced; foliage chlorotic and strongly flushed with anthocyanin, resembles pds.",11,Morph, ,
ms,--,male sterile, ,"ms-1, ms1","Pale, shrunken anthers; no pollen; hybrid stock", ,Morph, ,
ms-02,--,male-sterile-2, ,ms2,"Anthers pale, shrunken; no pollen",2,Morph,SPON,
ms-03,--,male-sterile-3, ,ms3,"Anthers variably small, discolored, occasionally fertile",11,Morph,SPON,
ms-03,42,male-sterile-3, ,ms-42,"Normal anthers, low amount of good pollen in some genetic backgrounds.",11,Morph, ,
ms-04,--,male-sterile-4, ,ms4,"Pale, shrunken anthers; a few aborted pollen grains.", ,Morph, ,
ms-05,--,male-sterile-5, ,ms5,Abnormally small flowers; very pale and greatly shrunken anthers; usually no pollen.,2,Morph,SPON,
