Gene	Locus Name	Phenoptype	Chromosome
mon	monstrosa	Very tiny, upright, and unbranched plants; leaves much reduced, and strongly epinastic; stems slender; heterozygote intermediate for some traits. Note: leaves and stems strongly epinastic.	11
mor	morata	Smaller plant, reduced side branching; yellowish light green foliage.	 
mp	modifier of parthenocarpy	Modifies expression of pat-2; in homozygous state, increases fruit set on pat-2 under low temperatures.	 
mps	miniature phosphorus syndrome	Very retarded and all parts extremely reduced; foliage chlorotic and strongly flushed with anthocyanin, resembles pds.	11
ms-02	male-sterile-2	Anthers pale, shrunken; no pollen	2
ms-03	male-sterile-3	Anthers variably small, discolored, occasionally fertile	11
ms-03	male-sterile-3	Normal anthers, low amount of good pollen in some genetic backgrounds.	11
ms-04	male-sterile-4	Pale, shrunken anthers; a few aborted pollen grains.	 
ms-05	male-sterile-5	Abnormally small flowers; very pale and greatly shrunken anthers; usually no pollen.	2
ms-06	male-sterile-6	Shrunken, pale anthers; no pollen.	1
ms-07	male-sterile-7	Anthers near normal in size and color; pollen aborted in tetrads.	11
ms-08	male-sterile-8	Abnormally small flowers with exserted stigmas; plale shrunken anthers; no pollen	8
ms-09	male-sterile-9	Anthers nearly normal; no pollen	3
ms-10	male-sterile-10	Abnormally small flowers; small, very pale anthers; greatly exserted stigmas; no pollen in mature anthers; meiosis delayed, breakdown mostly in early prophase; reduced ovule fertility.	2
ms-10	male-sterile-10	Anthers small, slender, pale; empty PMCs in locules; breakdown in different stages of meiosis; stigmas exposed.	2
ms-10	male-sterile-10	Anthers small, very pale; no pollen; flowers very small	2
ms-11	male-sterile-11	Very pale, shrunken anthers; aborted pollen, free or in tetrads.	 
ms-12	male-sterile-12	Abnoramally small flowers; nearly normal-colored but shrunken anthers; no pollen.	11
ms-13	male-sterile-13	Nearly normal anthers; free aborted pollen.	 
ms-14	male-sterile-14	Anthers shrunken; very pale; aborted pollen	11
ms-15	male-sterile-15	Abnormally small flowers with exserted pistils; very pale, dwarfed anthers; no pollen.	2
ms-15	male-sterile-15	Anthers dwarfed, very pale; no pollen; flowers small; stigmas exserted	2
ms-16	male-sterile-16	Pale shrunken anthers; clumped  aborted pollen.	 
ms-17	male-sterile-17	Pale shrunken anthers; no pollen.	2
ms-18	male-sterile-18	Exserted stigmas; slightly pale, very shrunken anthers; no pollen;	 
ms-19	male sterile-19	Slightly shrunken anthers; stigma mostly protruding.	 
ms-20	male sterile-20	Anther tips equal or exceed stigma.	 
ms-21	male sterile-21	Anthers and style of equal length; flowers slightly smaller.	 
ms-22	male sterile-22	Anthers normal length, shrunken; flower color slightly lighter.	 
ms-23	male-sterile-23	Anthers slender and paler; no pollen; meiosis delayed and prolonged; stigmas depressed.	 
ms-24	male-sterile-24	Anthers slightly more slender and paler; 100 percent aborted pollen; meiosis normal stigmas mostly exposed.	 
ms-25	male-sterile-25	Anthers slender, foreshortened, pale; stigmas mostly exposed.	 
ms-27	male-sterile-27	Anthers slender, diverging distally, pale; stigmas mostly not exposed.	 
ms-28	male-sterile-28	Anthers very slender, slightly shorter, pale; stigmas mostly exposed.	 
ms-29	male-sterile-29	Anthers slender, often  separate  below, pale, often greenish; stigmas mostly exposed.	 
ms-30	male-sterile-30	Stamens highly modified, very slender, free twisted, pale or greenish yellow; stigmas 100% exposed.	 
ms-31	male-sterile-31	Stamens smaller, very pale; stigmas 100% exposed.	 
ms-32	male-sterile-32	Stamens greatly reduced and shrunken, very pale, often brown.	1
ms-33	male-sterile-33	Anthers very irregular, yellow-green; no pollen; breakdown in early meiosis; stigmas exposed.	6
ms-34	male-sterile-34	Anthers short, pale; no pollen; meiosis normal, possibly delayed; stigmas exposed.	 
ms-36	male sterile-36	Anthers slightly shrunken and greenish.	 
ms-37	male sterile-37	Flowers appear normal, but have no pollen.	 
ms-38	male-sterile-38	Flowers small; anthers pale (matching corolla); no pollen; stigma inserted.	 
ms-38	male-sterile-38	Flowers small; anthers pale; no pollen; stigma not exposed	 
ms-39	male-sterile-39	Flowers possibly more fasciated than normal; stamens pale and slender; no pollen; stigma variably exposed; plant somewhat chlorotic and weak.	 
ms-41	male sterile-41	Anthers slghtly smaller, paler than +; all pollen aborted.	 
ms-43	male sterile-43	Few or no stamens produced, pollen viable	 
ms-44	male-sterile-44	Solanifolium leaf shape; small flowers with protruding style and divided stigma.	 
ms-45	male-sterile-45	Anthers long, slender, and pale; stigmas usually not exposed; breakdown sporogenesis and vestgia resorbed in later anther development.	 
ms-46	male-sterile-46	Anthers long, slender, and pale; stigmas usually not exposed; breakdown sporogenesis and vestgia resorbed in later anther development.	 
Ms-48	Male-sterile-48	Anthers pale, slender; completely male sterile; only small, abortive cells visible, no pollen grains.	10?
ms-49	male-sterile-49	Anthers pale, slender.	 
ms-50	male sterile-50	Anters pale, shrunken. High level of male-sterility; (but some pollen produced) anthers tend to brown and shrived distally.	 
Ms-51	Male-sterile-51	Dominant male-sterile mutant, similar to Ms-48.	 
ms	male sterile	Pale, shrunken anthers; no pollen; hybrid stock	 
mta	mutata	Small broad bush; internodes short; leaves long; light yellow-green, virescent in early stages.	9
mt	midget	All parts of plant reduced; high sterility; in field, make very compact dwarf mounds of growth; internodes short; most flowers abort and few open, exceedingly small and prob. nonfunctional.	 
mts	mortalis	No inflorescences even if grafted on normal stock; smaller bush; strongly reduced internodes and leaves.	1
mua	multifurcata	Small plant, all parts proportionately reduced; first inflorescence multibranched.	12
muf	multifolia	Leaves elongate, rugose, highly divided, gray-green.	 
mu	multinervis	Dainty young leaves, and light green intercostally.	6
mu	multinervis	Seedlings with strong virescence of light green color between veins of normal green.	6
mun	multinata	Small bush; many equal side shoots; short internodes and leaves.	 
mup	multiplicata	Enlarged, multibranched inflorescences; variable whorled flower parts; fruits fewer	 
mut	mutabilia	Small plant, reduced branching; midseason leaf color weak gray-to-dark green.	 
muv-2	multivalens-2	Small plant, shiny, shorter leaves; light yellowish growing points.	 
muv	multivalens	Plants and leaves small, light green, inflorescences close together	 
mux	multiplex	Stems often end abruptly in leafy structure; inflorescences irregularly branched to fasciate; jointless pedicels swollen at calyx base; petaloid sepals.	 
n-2	nipple tip-2	Nipple tips at stylar end of fruits.	 
n-3	nipple tip-3	Nipple tips at stylar end of fruits.	 
n-4	nipple tip-4	Nipple tips at stylar end of fruits.	 
na-2	nana-2	Very small, erect bush; tiny, narrow, rugose pinnae, often with necrotic flecks.	 
na	nana	Tiny plant, internodes and leaves very short, plicate and rugose.	7
nc	narrow cotyledons	Narrow cotelydons and slow growth.	 
nd	netted	Primary leaves strongly attenuated and chlorotic; leaflets curled upwards, accumulate much anthocyanins; cotyledons malformed; later leaves less extreme, with chlorophyll concentrated around veins.	10
ndw	necrotic dwarf	Semi-dwarf habit, epinastic leaves, necrosis in stems and leaves.  Phenotype more pronounced in the winter.	6
ned	necrodeformis	Leaf chlorosis, turns necrotic; some plants stunted and distorted; temperature dependent.	 
neg-2	neglecta-2	Plants diminutive in all parts; pinnae become necrotic.	 
neg-3	neglecta-3	Smaller, weakly branched plant; dark gray-green pinnae, necrotic flecks at tips, dying prematurely.	 
neg	neglecta	Leaves with many grayish necrotic spots; plant small, weak, killed by defoliation.	11
neg	neglecta	Plants small, weakly branched; leaves pale, darker veined, becoming necrotic, and prematurely shed.	11
ne	necrotic	Autogenous necrosis of leaves and stems, appearing first when the plants are 6-10 weeks of age as small, angular yellowish to brown, necrotic spots near the tips of the lower leaves; the spots are not superficial, but extend right through the leaf; accompanying the spotting is a downward and invward curling of the leaf; the spots become larger and coalesce and the necrosis proceeds upwards towards the growing point; the progress and severity of necrosis are greatly affected by environment -- under intense sunlight the plants may be completely browned, except near the growing point, their leaves largely shrivelled and dead; plants susceptible to Cladosporium fulvum are non-necrotic, the phenotype is only expressed with Cf-2 from S. pimpinellifolium and the S. lycopersicum  allele of necrotic.	2
nf	no flowers	Scanty flower production.	 
ni-2	nitida-2	Narrow cotyledons, pinnae; older shoot tips blue-green and slender.	 
Nir-1	Nitrate reductase-1	 	1
nit	nitidula	Lax, low bush; small, dark gray-green leaves, slightly glossy above.	 
n	nipple-tip	Nipple tips at stylar end of fruits.	5
nor	non-ripening	 	10
nor	non-ripening	Very retarded pigmentation, non-softening, and crack resistance of fruits.	10
not	notabilis	Leaves wilt under dry, sunny conditions, leading to necrosis, particularly on margins; leaves reduced.	7
Nr	Never ripe	Fruits turn color at normal time, but develops  pigmentation slowly and never assume as deep a color as normal, either from exterior or interior, no matter how long fruits are retained on the plant or in storage.  Dominant expression.  Also displays abnormal seedling growth, including root  hypertrophy.	9
nt	nitens	Plants reach 1/3 normal size, branching reduced; internodes and leaves shortened; leaf dark green, upper surface bright.	 
nv	netted virescent	Pale interveinal areas of cotyledons and true leaves; older leaves never with full green color.	9
ob-2	obscura-2	Smaller bush; short internodes; smaller, broad, compacted, dark-green pinnae.	 
obl	oblate fruit	Oblate fruit shaped.	 
ob	obscura	Smaller, weakly branched plant; early foliage dark-green.	 
obv	obscuravenosa	 	5
obv	obscuravenosa	Leaf veins appear clear with back lighting due to absence of chloroplasts in epidermal cells beneath veins.	5
obv	obscuravenosa	Leaf veins appear green with back lighting, due to presence of chloroplasts in epidermal layer beneath veins.	5
oc	ochroleuca	Leaves discolored and becoming white variegated; exposed unripe fruit is yellowish gray.	4
Od	Odorless	Herbage with little or no characteristic tomato odor.	3
Ol-1	Oidium neolycopersici resistance-1	Resistance to Oidium neolycopersici; incompletely dominant	6
ol-2	Oidium neolycopersici resistance-2	Broad spectrum resistance to Oidium neolycopersici	4
Ol-3	Oidium neolycopersici resistance-3	Resistance to Oidium neolycopersici; incompletely dominant.	6
Ol-4	Oidium neolycopersici resistance-4	 	6
Ol-5	Oidium neolycopersici resistance-5	 	6
Ol-6	Oidium neolycopersici resistance-6	 	6
oli	olivacea	Small plant; pinnae more divided, short, variously light-olive-dark green,  wavy margin, dying early.	10
oli	olivacea	Very small plant; small, malformed olive-green leaves, dying prematurely.	10
o	ovate	Elongate fruits with low locule number; completely recessive for fruit shape, partially dominant for locule number.	2
o	ovate	Ovate fruits.	2
o	ovate	Ovate or pear shaped fruits; incompletely dominant, sometimes permitting classification of all three genotypes, but usually treated as a recessive.	2
o	ovate	Small compact bush; short internodes; small leaves and pinnae; ovate fruits.	2
op-2	opaca-2	Small plant with light green foliage, particularly in growth zones.	 
opa	opacata	Smaller somewhat spreading plant; yellow-green foliage.	 
op	opaca	Lighter leaf color, yellow at growing point.	2
Ora	Orobanche aegyptica resistance	Resistance to broomrape based on single gene action.	11
or	ordinata	Plant size and habit typical pm; until fruiting, variably light green virescent, later typical pm.	 
os	oligosperma	Small, weakly branched, half erect plant; distorted cotyledons; dark green leaves, fewer pinnae.	 
ot	obtusa	All leaves short, broad, dark green, weakly shiny above.	 
ova	ovata	Seedlings smaller, branches slender, internodes shortened; foliage early whitish light green, later normal but light green virescent; fruits variably egg shaped.	 
ovi	oviformis	Broad, keeled, more crenate pinnae; long oval fruit.	 
pa-2	parva-2	Small, nearly unbranched, erect plant; firm leaves, weakly curved upwards.	 
paf	pauciflora	Fewer flowers per inflorescence; small plant and pinnae.	 
pai	pseudoanthocyanin incomplete	Strong purple of hypocotyls fades shortly after germination to dusky green but returns to positive level by flowering time.	 
pal	pallida	Light green color; paler corolla; plant size variable; foliage color dominant.	 
pa	parva	Very small plant; few side shoots; short internodes; small leaves and pinnae.	 
pap	paupercula	Seedlings typical praematura, plants reaching 1/3-2/5 praematura size; branching variably reduced; susceptible to wilting from flowering on.	 
par	parca	Smaller, weakly branched, half erect plant; fewer boat-shaped to involuted pinnae, purplish ventrally.	 
pas-2	pallescens-2	Small, narrow, light green, keeled pinnae.	 
pas	pallescens	Small plant; dull light green foliage.	 
pat-2	parthenocarpic fruit-2	Parthenocarpic fruit.	4
pat-3	parthenocarpic fruit-3	Parthenocarpic fruit; expression dependent on prevention of pollination and fertilization; requires pat-4.	 
pat-4	parthenocarpic fruit-4	Parthenocapric fruit; only expressed when pollination and fertilization are prevented; requires pat-3.	 
pat	parthenocarpic fruit	Fruit mostly parthenocarpic, with some seed set, especially in late season; anthers reduced, but pollen viability normal.	3
pau	pauper	Plants tiny, weak, and unbranched; tend to die before fruiting; marked reciprocal graft influence with normal.	3
pca-2	proclinata-2	Smaller, dainty plant; short, light gray-green leaves; full-sized flowers.	 
Pch	Photoperiodic chlorosis	Chlorosis under constant illumination; apparently in all L. esculentum; dominant absence allele in other species.	 
pc	precocious centromere division	Centromeres divide prematurely in meiosis starting in anaphase I and completed in all by prophase II; completely pollen sterile, highly egg sterile.	 
pct	polycot	Multiple cotyledons, smaller leaves with fewer segments, entire margins, grayish, strongly convex, deep veined. Stunted growth. Inflorescence large, compound, epinastic. Flowers fasciated. Corolla segments narrow.	9
pcv	polychrome variegated	Fine striated variegation for white, green and various intensities of gray-green on distorted leaves.	11
pdc	pudica	Seedling very retarded and dark colored; cotyledons and first true leaves plicate, arched and hooded; mature plant greatly retarded; leaves narrow, strongly plicate, and tips acute.	3
pd	pigment diluter	Reduces plant chlorophyll and fruit pigment, the latter by 50%.	 
pds	phosphorus deficiency syndrome	Development retarded; leaves reduced, distorted, blotched dull yellow green and flushed with anthocyanin.	6
pdw	pale dwarf	Plant small; leaves pale yellow, not turning green.	7
pen	pendens	Broadly spreading, drooping, glossy, and yellowish pinnae.	2
per	perviridis	Leaves darker green, dropping early, anthocyanin strong; very small, slow-growing plants.	1
pe	sticky peel	Phenotype similar to pe (sticky fruit epidermis); waxy fruit.	1
pe	sticky peel	Sticky fruit epidermis.	1
pet	penetrabile	Plant small, stocky shoots; short internodes and leaves; rugose pinnae; heterozygote intermediate at season's end.  Note: leaves broad and round.	11
pf	parviflora	Plants reach half normal size; internodes and leaves shortened; leaf segments small, narrow, keeled, dark grey-green; branch tips purplish; flowers smaller, petioles narrow and slightly paler.	 
pg-2	pale green-2	Cotyledons and leaves pale-green.	 
pg-3	pale green-3	Cotyledons pale gray-green; leaves fading to dull yellow color.	 
Pgdh-1	6-Phosphogluconate dehydrogenase-1	 	4
Pgdh-2	6-Phosphogluconate dehydrogenase-2	 	12
Pgdh-3	6-Phosphogluconate dehydrogenase-3	 	5
Pgi-1	Phosphoglucoisomerase-1	 	12
Pgm-1	Phosphoglucomutase-1	 	3
Pgm-2	Phosphoglucomutase-2	 	4
pg	pale green	Cotyledons first pale yellow, turn gray-green, which is mature plant color; slow growing.	 
Ph-2	Phytophthora infestans resistance-2	Phytophthora infestans resistance.	10
Ph-3	Phytophthora infestans resistance-3	 	9
Phf-2	Phytophthora infestans field resistance2	Incompletely dominant.	 
Phf	Phytophthora infestans field resistance	Incompletely dominant.	 
Ph	Phytophthora infestans resistance	Resistant  to Phytophthora infestans race T:0,  susceptible to  race T:0.	7
phyB2	phytochrome B2	In combination with phyB1 (tri), increases internodes are elongated and leaves are chlorotic; alone, phenotype is normal..	5
pi-2	pistillate-2	Plant size and vigor reduced; inflorescences tending to abort; flowers small with only calyx and pistil; calyx subnormal, tightly adpressed to pistil; female fertility and/or fruit set affected.	 
pic-2	picta-2	Young pinnae with marginal necrotic flecking, later more numerous.	 
pic-3	picta-3	Plant diminutive in all parts; pinnae light yellow-green turning necrotic at tips, dying early.	 
pic-4	picta-4	Scattered necrotic flecks on smaller, light gray to olive green pinnae.	 
pic	picta	Leaves at first normal green, later turning yellowish then brown necrotic above, some eventually brown below.	 
pin	pinnosa	Small, flat bush; short internodes, leaves; keeled, sometimes yellowish, light green pinnae.	 
pi	pistillate	Only vestiges of stamens present; calyx and corolla segments slender, elongate, strap shaped, and unequal in size; pistil distorted in varying fashion; small, extra locules usually present; inflorescences indeterminate; no pollen produced, and high ovule sterility.	 
pla-2	plana-2	Longer hypocotyl; larger cotyledons and pinnae.	 
pla	plana	Small plant, stiff when young, yellowish to light green leaves darker veins.	9
pli-2	plicata-2	Small, lax bush; slender shoots, short internodes; smaller gray-green pinnae.	 
pli	plicata	All parts small; leaves dark, yellowish, plicate; strong anthocyanin.	3
pl	perlucida	Light green, narrow pinnae, yellowing prematurely.	7
pm-2	praematura-2	Short internodes; small, rounded, crowded, dark green pinnae; fruit ripen early.	 
pma	praemortua	Plants reach 1/4 normal size, weakly branched; leaves reduced; starting at flowering: stem epidermis becomes dry; brown, silvery, leaves gradually necrose; fruit set good for plant size.	 
pm	praematura	Small plant; dainty, shorter, sometimes yellowish leaves; fruit ripen early.	 
Pn	Punctate	Heavy anthocyanin accumulation at base of large trichomes on upper leaf surface.	8
pol-2	polyopha-2	Main, lateral shoots end in large branched inflorescence with large, fasciated central flower; fruit flattened 4 to 9 locules.	 
pol	polylopha	Short internodes; leaves plicate and twisted; fruit flat and fasciated.	 
Pox	Poxed fruit	 	 
ppa	purpurea	In early stages indistinguishable from elu; as fruits set, becomes distinguishable by its high anthocyanin content.	 
p	peach	Denser and more persistent pubescence of fruit epidermis, imparting a dull appearance to the fruit surface; herbage also more pubescent and showing a blue-gray cast; classification not good under arid field conditions.	2
p	peach	Dull-colored fruit epidermis, from mature green to ripe.  Phenotype similar to nor^2, but pericarp more pink-colored and skin less strong, possibly equivalent to nor.	2
ppi	paucipinnata	Plants always retarded, weakly branched, shortened internodes; leaves often with 1 pair of segments, acuminate, slightly keeled; reduced fruit set.	 
pp	polyphylla	Longer, more divided, lighter-colored leaves, micromutation.	 
pra-2	praeclusa-2	Plant always severely retarded, reaching 10-20 cm, unbranched, seem very thick; leaves and cotyledons small, dark green, leaves very rugose; no inflorescences seen; maintained via heterozygotes.	 
pra	praeclusa	Cotyledons short, broad, bent downwards on strong hypocotyls; plants(seen only in greenhouse) of variable height 10-40 cm; habit upright with no branches; leaves extremely foreshortened and crupled with 1-2  partial segments, dark green, strongly blistered and curled; inflorescence greatly reduced; no fruit set; maintained via heterozygotes; resembles Cu.	 
prc-2	procumbens-2	Older stems become prostrate.	 
prc-3	procumbens-3	Prostrate cushiony plant; elongated leaves with fewer long stalked pinnae.	 
prc	procumbens	Shortened internodes and leaves; rugose leaves lightly mottled yellow.	6
pre	pressa	Plants attain 1/3 height; habit weakly branched, semi-erect and slender; angle of leaf emergence very narrow; leaves very short, segments relatively coarse and plicate; fruit development reduced.	 
pro	procera	More rapid growth rate; few foliolules, larger segments entire.  Tall, slender, weak plant.  Increases internode  length, the number of internodes before the first inflorescence and the total number of internodes.	11
pr	propeller	Cotyledons propeller like; true leaves greatly modified: leaf lamina narrow, twisted, and mottled.	1
prt	protea	Smaller plant, variably reduced; pinnae keeled, pale-yellow, partly shiny, leathery.	 
prun-2	prunoidea-2	Elongated hypocotyl internodes, leaves, fruit; very lax habit.	 
prun	prunoidea	All parts, particularly fruit, are elongated; traits weakly dominant.	2
Prx-1	Peroxidase-1	 	1
Prx-2	Peroxidase-2	 	2
Prx-3a	Peroxidase-3a	 	 
Prx-3	Peroxidase-3	 	2
Prx-4	Peroxidase-4	 	10
Prx-6	Peroxidase-6	 	3
Prx-7a	Peroxidase-7a	 	 
Prx-7	Peroxidase-7	 	3
ps-2	positional sterile-2	Positional sterile flowers; pollen is not shed.  .	4
psa	perspicua	Plants attain 1/2-3/4 normal size; early leaves pale light green; pinnae bent strongly upwards and more serrate, exposing undersides; distinctive yellowish light green color with exposed pale green lower surface.	 
ps	positional sterile	Corolla does not unfurl; pollen is not shed.	2
ps	positional sterile	Essentially cleistogamous in respect to opening of the corolla; corolla normal in color  and probably also in size, but segments are so tightly bound in dorsal grooves of the anthers, into which they normally fold in the bud, that they do not ordinarily unfurl; stomia of the anthers usually do not open during the life of the flower, thereby preventing self pollination; pollen of normal viability; depending onf the genotypic background and environmental conditions, occasional flowers may open or set fruit from sefl-pollination.	2
pst	persistent style	Style adnate to fruit throughout development; fruit becomes strongly beaked.	7
psu	paucisurcata	Plant small, almost without branches; internodes and leaves strongly shrotened; leaf segments very small, light keeled, dull grey-green; flowers small; fruit set variably low.	 
pt-4	pseudo-triplo-4	Resembles triplo-4 in dainty habit, elongate leaf and flower parts; differs in defective flowers.	11
pta	partiaria	Seedling and plant habit normal; leaf segments narrow, dainty with deeper serration and plicate, tending to be pendant; foliolules more abundant.	 
ptb	protuberant	Stylar end of mature fruit markedly pointed, protuberant.	 
Pto	Pseudomonas syringae pv tomato resis.	Resistance to Pseudomonas syringae pv. tomato.	5
Pto	Pseudomonas syringae pv tomato resis.	Resistance to Pseudomonas syringae pv. Tomato, race zero sensitive to insecticide Fenthion.	5
Pto	Pseudomonas syringae pv tomato resis.	Resistance to Pseudomonas syringae without Fenthion sensitivity	5
pt	petite	Small, slow-growing chlorotic plants; light green cotyledons; frequently tricot or bifid.	 
Pts	Petroselinum	Leaves resemble plain parsley foliage in being excessively divided (to the 3rd and 4th order in homozygotes, heterozygotes are intermediate).	6
ptu	punctulata	Bushy habit with slightly shorter internodes; cotyledons and primary leaves are light green with white-green background; foliage dull light grey-green, yellow-light green virescent with fine white-yellow spots; shoot tips bluish.	 
pum	pumila	Tiny, dainty plant with few or no branches; slow growth rate.	9
pun-2	punctata-2	Pinnae, filiform, thick, gray-green.	 
pun	punctata	Smaller plant, variably branched; narrow, keeled, firm pinnae, mostly finely variegated or mottled  in light to dark-green.	 
pu	pulvinata	Shortened internodes, stronger branching; elongate cotyledons; leaflets broad and much divided.	 
pur	purilla	Plants much retarded, erect, and little branched; leaf edges yellow with normal green veins.	 
pur	purilla	Very small, unbranched, delicate plants; much reduced leaves yellowing at margins.	 
pus	pustulata	Strongly rugose, broad, rounded pinnae; stutdy, erect bush; dark green foliage at all stages	 
pv	pulviniformis	Plants reach 1/4 to 1/3 pm size, habit cushion like via controlled growth of side shoots; leaves shortened, older ones prematurely yellowing, later drying; young stems normal, developing brown. sunken spots later.	 
pvs	parvistata	Plants always small, reaching 1/4 normal size; internodes and leaves shortened, leaf segments small, bright, dark green below; shoot tips bluish with anthocyanin.	 
px	praecox	Lax, spreading plant; small pinnae; larger, earlier fruit.	 
pyl	Pyrenochaeta lycopersici resistance	Resistance to corky root; heterozygote intermediate, varies with environment.	3
py	pyramidalis	Cotyledons wider, hypocotyl shorter; plants reach 2/3 normal height; habit first upright, weakly branched, later becoming pyrimidal, leaves at this time are irregularly epinastic; terminal segments broader; foliage color shiny dark yellowish.	 
ra-2	rava-2	Cotyledons heavily dotted in white; purplish hypocotyl; smaller lax plant.	 
ram	ramosissima	Variably branched inflorescence; proportionately reduced all other plant parts.	 
ran	ranificans	Slender shoots, pinnae, petals; variably branched inflorescence.	 
ra	rava	Leaves down curled and gray-green; larger trichomes longer and silky.	4
ra	rava	Small plant; leaves small, strongly recurved dorsally, light yell to gray-green; trichomes longer.	4
rc	rolled cotyledons	Retarded growth; cotyledons uprolled.	 
rd	reduced	In greenhouse plants grow normally to about 30 cm height; thereafter grow slowly or not at all; intolerant of field conditions.	 
rea	repleta	Plant denser; crowded pinnae on shorter leaves of light yellow-green.	 
ref	refrenata	Strongly retarded growth; sturdy shoots; short leaves; small, narrow pinnae.	 
rela	relaxata	Lax open habit; tiny plants; light green yellow tinged leaves; heterozygotes intermediate color.	9
rep-2	repens-2	Early growth typical spl; from flowering on, all  parts develop plagiotropecally, exposing fruits, which ripen earlier than normal.	 
rep-3	repens-3	Plants reach 1/3 normal size, weakly branched and plagiotropic, internodes and leaves shortened; foliage light grey-green; leaves necrose prematurely; fruits relatively large.	 
rep	repens	Strong creeping tendency even in seedling; less branching; shortened, prematurely dying leaves; mimics 'lazy' series by strong reversed geotropism  of shoots.	 
re	reptans	Seedlings inclined from epicotyl, mature plants recumbent; elongate internodes; less branched.	8
res	restricta	Smaller, squarrose bush; yellowish light-green, boat-shaped pinnae, purplish ventrally.	10
Rg-1	Regeneration-1	High shoot regeneration capacity from callus cultures established from root explants.	3
Rg-2	Regeneration-2	High shoot regeneration capacity.	3
ria	rigidula	Smaller plant; stiff, yellowish young leaves turn dark-green later.	7
ria	rigidula	Smaller, stiff, compact plant; erect sideshoots; young pinnae keeled to involuted light yellow-green, dark veins, purplish below.	7
rig-2	rigida-2	Plant small, rigidly erect when young; leaves yellowish,  and darkening later.	 
rig	rigida	Plant small, rigidly erect when young; leaves yellowish,  and darkening later.	8
rig	rigida	Small, lax, spreading plant; pinnae keeled, yellowish to light-green; early flowereing, ripeninging; heterozygote recognizable.	8
rin	ripening inhibitor	Fruits green at maturity, later turning bright yellow, retarded ripening.	5
ri	ridged	Ridged leaves; retarded growth of shoots and roots.	6
rl	radial cracking resistance	Resistance of fruit to radial cracking.	 
roa-2	rotundata-2	Rounded, slightly rugose pinnae; shortened leaves	 
roa	rotundata	Small plant; short internodes, leaves; broad, rounded, rugose, light gray-green pinnae.	 
ro	rosette	Internodes extremely short, inducing rosette plant heart; no flowers, but vistigial buds formed on older plants; height 6 inches or less; reduced branching of root system, producing a single tap root; leaflets narrower than normal.	2
rot-2	rotundifolia-2	Small plant; short internodes, sidshoots; small, broad pinnae, nearly round.	 
rot	rotundifolia	Short internodes; short, broad, rugose leaves.	7
rpa	repetita	Seedling size variable; plants weak, attaining 1/3 size; habit weakly branched, upright; leaves highly divided, each main segment equivalent to a normal leaf, early color dull grey-green, becoming normal later.	 
Rs	Root suppressed	Greatly restricted or no root development.	4
rtd	retarded dwarf	Small plant of slow growth; mature leaves drooping.	 
rt	potato virus Y resistance	Resistance to potato virus Y.	 
ru	ruptilis	Leaflets narrow, keeled, dull light green, darker veined; heterozygote temporarily intermediate.	3
ru	ruptilis	Leaflets narrow, keeled, dull light green, darker veined; heterozygote variably intermediate.	3
rust-2	rustica-2	Small, lax bush; fewer, rounded pinnae.	 
rust	rustica	Dwarf plants with short internodes; leaves broad, and blunt with fewer segments.	8
rv-2	reticulate virescent-2	Cotyledons light green; leaves yellowish with green veins.	 
rv-4	reticulate virescent-4	Sharply defined virescence- yellowish color of the immature leaves strongly contrasted with dark green network of the veins; seedling retarded.	 
rv	reticulate virescent	Cotyledons and new leaves pale with dark veins, turning to normal green with age.	3
rvt	red vascular tissue	Vascular tissue deep red in roots and stems.	1
rx-1	 	 	1
rx-2	 	 	1
r	yellow flesh	Likely allele of r with reddish flesh tones in ripe fruit	3
r	yellow flesh	Yellow color of ripe fruit flesh.	3
r	yellow flesh	Yellow color of ripe fruit flesh; synthesis of lycopene is inhibited; associated with paler corolla color, which often affords a satisfactory classification at flowering stage.	3
r	yellow flesh	Yellow fruit flesh; lighter yellow flowers.	3
sar	squarrulosa	Small plant, somewhat squarrose and slender branched.	 
sa	sphacelata	Small plant; light yellowish leaves, developing necrotic lesions ventrally or on pinnae tips; environmentally sensitive.	 
scf	scurfy	Striated, scurfy cotyledons.	1
scl	seasonal chlorotic lethal	Cotyledons pale yellow, sometimes grooved; lethal in early stages except for recovery in mid summer.	8
s	compound inflorescence	Greatly increased number of flowers per inflorescence.	2
s	compound inflorescence	Inflorescence branches excessively, resulting in a large hemispherical mass of 80 or more flowers and buds; inflorescence appears at every sixth node, instead of every third in normal genotypes.	2
sco	scopulina	Plants reach 3/4 normal size, erect, bushy, thick coarse branches, internodes and leaves shortened; leaf segments large, broad, very wavy and rugose; fastigiate inflorescences resemble broom.	 
sd-2	sun dwarf-2	Very short, scarred internodes in high light intensity; heterozygotes usually intermediate.	 
sd-3	sun dwarf-3	Interacts with sd-2 and br to yield birdsnest phenotype.	 
sd	sun dwarf	Exposed leaves are greatly stunted, internodes less than 1 cm; stems somewhat constricted above the nodes, showing a brownish discoloration at first, scar tissue later; new shoots from base of plant grown normally until they break through the thick canopy of foliage; net effect on the whole plant is general stunting and extremely compact growth; growth is entirely normal throughout fall, winter and early spring, but during the rest of the year, phenotype is well expressed, at least under high light conditions; heterozygote is intermediate, but sometimes difficult to distinguish from +.	5
sdt	semideterminate habit	Semideterminate habit in background of sp/sp.	 
sem-2	semiglobosa-2	Smaller plant, leaves, pinnae; short internodes.	 
